,Datetime,Open,High,Low,Close,Volume
80,2020-04-29T00:00:00,53.33,54.1,53.2,53.67,12216675
81,2020-04-30T00:00:00,54.37,56.33,54.2,56.13,21193860
82,2020-05-04T00:00:00,55.1,55.13,53.0,53.17,12277492
83,2020-05-05T00:00:00,54.0,54.67,52.27,52.47,13552151
84,2020-05-06T00:00:00,51.2,51.53,48.53,51.03,26298393
85,2020-05-07T00:00:00,51.23,51.33,50.4,50.5,13425918
86,2020-05-08T00:00:00,50.73,51.33,49.37,49.57,14534653
87,2020-05-11T00:00:00,50.37,50.87,49.87,50.23,12903300
88,2020-05-12T00:00:00,50.57,51.13,49.73,49.93,16302858
89,2020-05-13T00:00:00,51.93,51.93,50.5,50.67,18240702
90,2020-05-14T00:00:00,50.67,50.97,50.0,50.1,9059402
91,2020-05-15T00:00:00,50.5,50.93,50.13,50.33,15818086
92,2020-05-18T00:00:00,50.37,50.53,47.43,47.7,17698491
93,2020-05-19T00:00:00,48.57,48.93,47.87,48.03,12402582
94,2020-05-20T00:00:00,48.23,49.67,47.93,49.4,12925558
95,2020-05-21T00:00:00,49.4,49.97,48.67,49.63,10240766
96,2020-05-22T00:00:00,49.17,50.6,48.53,50.33,14476537
97,2020-05-26T00:00:00,51.07,51.9,50.77,51.43,15486146
98,2020-05-27T00:00:00,51.47,51.97,50.67,51.7,14315336
99,2020-05-28T00:00:00,51.6,52.53,51.47,51.8,9978005
100,2020-05-29T00:00:00,51.8,56.47,51.47,55.47,34572984
101,2020-06-01T00:00:00,56.87,58.17,56.33,57.43,29796065
102,2020-06-02T00:00:00,57.73,57.9,56.5,57.2,17989429
103,2020-06-03T00:00:00,57.53,59.27,57.4,58.0,19472942
104,2020-06-04T00:00:00,57.37,57.77,56.07,57.27,29273591
105,2020-06-05T00:00:00,57.73,60.03,57.47,59.6,24128677
106,2020-06-08T00:00:00,61.93,64.27,61.4,62.07,39389102
107,2020-06-09T00:00:00,62.23,62.4,60.07,60.43,16781255
108,2020-06-10T00:00:00,60.4,61.3,59.4,59.97,13668132
109,2020-06-11T00:00:00,60.07,62.23,58.6,58.9,29700148
110,2020-06-12T00:00:00,56.67,59.03,56.67,58.87,21617576
111,2020-06-15T00:00:00,58.77,58.8,57.27,57.47,35101481
112,2020-06-16T00:00:00,58.23,58.83,55.9,56.57,18620672
113,2020-06-17T00:00:00,56.33,57.23,55.9,56.23,12560184
114,2020-06-18T00:00:00,56.2,57.0,55.83,56.57,14843028
115,2020-06-19T00:00:00,57.33,57.4,56.47,56.87,21537953
116,2020-06-22T00:00:00,57.23,58.87,57.0,58.7,22605365
117,2020-06-23T00:00:00,59.2,60.33,58.77,59.57,31797103
118,2020-06-24T00:00:00,60.33,60.33,57.37,58.07,29648026
119,2020-06-25T00:00:00,56.8,58.73,56.47,56.7,25734149
120,2020-06-26T00:00:00,57.27,59.97,57.17,59.43,46496322
121,2020-06-29T00:00:00,59.67,60.47,57.67,58.07,21451435
122,2020-06-30T00:00:00,58.87,58.97,56.5,56.9,16344707
123,2020-07-01T00:00:00,57.1,57.43,56.2,57.1,14331346
124,2020-07-02T00:00:00,57.67,59.27,57.3,58.9,23312656
125,2020-07-03T00:00:00,58.93,59.4,58.13,58.57,9989790
126,2020-07-06T00:00:00,58.7,59.57,58.0,58.63,13522961
127,2020-07-07T00:00:00,58.67,58.7,57.27,57.43,12790857
128,2020-07-08T00:00:00,57.5,59.27,57.37,57.97,16678756
129,2020-07-09T00:00:00,58.3,58.97,57.33,57.67,15305046
130,2020-07-10T00:00:00,57.63,57.7,56.93,57.43,11091008
131,2020-07-13T00:00:00,58.0,58.5,57.47,58.27,16659178
132,2020-07-14T00:00:00,57.83,58.53,57.27,57.6,15345709
133,2020-07-15T00:00:00,57.87,58.0,56.73,57.1,16532721
134,2020-07-16T00:00:00,56.97,57.03,55.0,56.17,22609832
135,2020-07-17T00:00:00,56.43,58.47,55.7,57.93,51152122
136,2020-07-20T00:00:00,57.97,59.0,57.43,58.87,20607847
137,2020-07-21T00:00:00,58.87,63.13,58.47,62.3,93905218
